City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Tselina,RU,46.53,41.03,38.28,77,0,2.24,clear sky
184,Saint George,US,37.1,-113.58,46.4,45,1,0.94,clear sky
185,Ocos,GT,14.51,-92.19,77.0,100,75,8.37,broken clouds
186,Ortona,IT,42.35,14.4,52.0,93,8,5.82,mist
187,Komsomolskiy,UZ,40.43,71.72,39.2,66,77,4.7,broken clouds
188,Abha,SA,18.22,42.51,57.2,87,0,1.45,clear sky
189,Nioro,GM,13.35,-15.75,76.37,85,8,5.66,clear sky
190,Dondo,MZ,-19.61,34.74,78.8,83,20,9.17,few clouds
191,Zaozerne,UA,45.16,33.28,44.82,60,0,11.99,clear sky
192,Nouadhibou,MR,20.93,-17.03,73.4,60,0,12.75,clear sky
193,Cockburn Town,TC,21.46,-71.14,80.91,79,69,27.07,light rain
194,Cidreira,BR,-30.18,-50.21,69.13,95,100,11.63,overcast clouds
195,Mali,GN,12.08,-12.3,61.9,58,0,2.08,clear sky
196,Lompoc,US,34.64,-120.46,55.4,50,1,11.41,clear sky
197,Eureka,US,40.8,-124.16,48.99,34,100,6.29,overcast clouds
198,Dumai,ID,1.68,101.45,78.69,91,99,2.3,overcast clouds
199,Umm Kaddadah,SD,13.6,26.69,71.8,25,24,16.53,few clouds
200,Kutum,SD,14.2,24.67,63.45,34,0,10.65,clear sky
201,Tabuk,PH,17.42,121.44,76.59,87,100,14.88,moderate rain
202,Karratha,AU,-20.74,116.85,89.53,15,0,10.0,clear sky
203,Chokurdakh,RU,70.63,147.92,-6.32,93,89,1.81,overcast clouds
204,Liyang,CN,29.71,118.29,57.99,66,0,4.09,clear sky
205,Iqaluit,CA,63.75,-68.51,6.8,84,75,2.24,broken clouds
206,Walvis Bay,NA,-22.96,14.51,55.4,87,0,10.29,clear sky
207,Qaqortoq,GL,60.72,-46.03,24.49,91,100,9.28,overcast clouds
208,Anadyr,RU,64.75,177.48,23.0,92,44,8.95,light snow
209,Hokitika,NZ,-42.72,170.97,60.01,65,0,6.91,clear sky
210,Quelimane,MZ,-17.88,36.89,75.83,95,25,3.8,scattered clouds
211,Coihaique,CL,-45.58,-72.07,59.0,67,0,3.36,clear sky
212,Gat,IL,31.61,34.76,64.0,82,0,0.58,clear sky
213,Anori,BR,-3.77,-61.64,77.22,88,100,1.81,overcast clouds
214,Caramay,PH,10.18,119.24,85.89,66,100,3.91,overcast clouds
215,Bay Roberts,CA,47.6,-53.26,51.01,99,13,18.99,few clouds
216,Coahuayana,MX,18.73,-103.68,73.4,78,40,11.41,scattered clouds
217,Salas,ES,43.41,-6.26,53.6,81,0,10.29,clear sky
218,Sakaiminato,JP,35.55,133.23,55.4,76,40,1.12,scattered clouds
219,Sioux Lookout,CA,50.1,-91.92,19.4,79,5,3.36,clear sky
220,The Valley,AI,18.22,-63.06,77.0,88,75,8.05,broken clouds
221,Anloga,GH,5.79,0.9,80.6,88,20,3.36,few clouds
222,Harper,LR,4.38,-7.72,78.03,88,100,8.5,light rain
223,Ambunti,PG,-4.24,142.84,85.66,83,75,0.81,moderate rain
224,Palmas De Monte Alto,BR,-14.27,-43.16,72.86,54,38,7.0,scattered clouds
225,Emerald,AU,-23.53,148.17,82.99,36,0,13.87,clear sky
226,Kalmunai,LK,7.42,81.82,79.14,83,100,5.3,overcast clouds
227,Datong,CN,40.09,113.29,46.99,50,11,4.94,few clouds
228,Kashi,CN,39.45,75.98,39.2,32,0,8.95,clear sky
229,Okhansk,RU,57.72,55.39,28.4,100,75,8.95,broken clouds
230,Tortoli,IT,39.93,9.66,62.6,88,20,12.75,few clouds
231,Oranjemund,NA,-28.55,16.43,59.04,67,0,13.35,clear sky
232,Clyde River,CA,70.47,-68.59,-5.8,91,1,11.41,clear sky
233,Kulpahar,IN,25.32,79.65,65.59,40,0,2.3,clear sky
234,Sibolga,ID,1.74,98.78,85.71,64,66,0.96,light rain
235,Buraydah,SA,26.33,43.98,66.2,82,40,9.17,scattered clouds
236,Am Timan,TD,11.03,20.28,77.97,38,20,1.95,few clouds
237,Lingao,CN,19.91,109.69,73.9,76,99,22.1,overcast clouds
238,Ponta Do Sol,PT,32.67,-17.1,68.0,68,75,3.36,broken clouds
239,Oblivskaya,RU,48.54,42.5,36.3,78,94,8.14,overcast clouds
240,Cabo San Lucas,MX,22.89,-109.91,75.0,68,75,8.05,broken clouds
241,Yulara,AU,-25.24,130.99,84.2,14,0,8.05,clear sky
242,Harlingen,US,26.19,-97.7,75.99,88,1,8.05,clear sky
243,Nuevitas,CU,21.55,-77.26,73.4,94,20,3.36,light rain
244,Cayenne,GF,4.93,-52.33,77.0,100,0,1.12,clear sky
245,Sabang,ID,5.89,95.32,82.2,79,2,15.23,clear sky
246,Meadow Lake,US,34.8,-106.54,44.6,22,1,10.29,clear sky
247,Vao,NC,-22.67,167.48,70.88,73,100,18.92,light rain
248,Fort-Shevchenko,KZ,44.51,50.26,45.32,57,0,15.23,clear sky
249,Isangel,VU,-19.55,169.27,78.8,88,90,6.4,light rain
250,Les Cayes,HT,18.2,-73.75,77.68,84,80,4.12,broken clouds
